words,encoded
2015-0009,699
2015-001,700
2015-0010,701
2015-0011,702
2015-0012,703
2015-0014,704
2015-0015,705
2015-0016,706
2015-0018,707
2015-0019,708
2015-002,709
2015-0020,710
2015-0021,711
2015-0027,712
2015-003,713
2015-0030,714
2015-0031,715
2015-0038,716
2015-004,717
2015-0040,718
2015-0041,719
2015-0042,720
2015-0046,721
2015-005,722
2015-0051,723
2015-0053,724
2015-0055,725
2015-0056,726
2015-0058,727
2015-006,728
2015-0065,729
2015-0066,730
2015-0080,731
2015-0100,732
2015-0103,733
2015-0104,734
2015-012,735
2015-0120,736
2015-0128,737
2015-013,738
2015-0132,739
2015-014,740
2015-0140,741
2015-0161,742
2015-0167,743
2015-0187,744
2015-019,745
2015-0191,746
2015-0197,747
2015-0208,748
2015-021,749
2015-0216,750
2015-0222,751
2015-0223,752
2015-0224,753
2015-024,754
2015-025,755
2015-034,756
2015-04,757
2015-041,758
2015-055,759
2015-12,760
2015-13,761
2015-18,762
2015-20,763
2015-2020,764
2015-62,765
2015-73,766
2015/0010,767
2015/411,768
2015/422,769
20158,770
2017,771
2018,772
2019,773
202986-1,774
203,775
"203,46",776
203.46,777
2031,778
204,779
"204,36",780
2042,781
205,782
"205,92",783
2051,784
2057,785
2058,786
2059,787
206,788
2061,789
2063,790
2068,791
2069,792
207,793
208,794
2088,795
"209,25",796
21,797
"21,50",798
21/12/2007,799
210,800
"210,49",801
2101,802
21011,803
2102,804
21021,805
210222,806
210223,807
210224,808
2104,809
211,810
"211,46",811
211-1,812
211-3,813
2111,814
2112,815
212,816
212-1,817
212-19,818
2121-29,819
2122-21,820
2122-22,821
213,822
"213,30",823
2138,824
214,825
215,826
2153,827
216,828
2164,829
2169,830
218/2005,831
2181,832
2183,833
219,834
"219,44",835
22,836
220,837
"220,59",838
"220,69",839
2201,840
22011,841
2202,842
22021,843
220222,844
220223,845
220223-c,846
220223-c-2,847
220224,848
220225,849
2208-228,850
222,851
"222,17",852
2221-2,853
223,854
"223,50",855
"223,64",856
2237,857
"224,80",858
2240,859
2247,860
225,861
"225,08",862
"225,98",863
"226,17",864
226.50,865
2261,866
22612,867
227,868
228,869
2299,870
23,871
23/10/2008,872
23/2014,873
"230,42",874
"231,15",875
231-1,876
231-10,877
231-25,878
231-3,879
231-32,880
2311-7,881
232,882
"232,50",883
"232,61",884
233,885
"233,09",886
"233,43",887
2332,888
2334,889
2335,890
234,891
235,892
"235,29",893
"235,47",894
236,895
"237,80",896
238,897
"238,62",898
"239,04",899
24,900
24/02/2009,901
"240,25",902
2406-2004,903
241-37,904
241-8,905
242,906
"242,84",907
242-1,908
242-12,909
242-14,910
242-16,911
242-17,912
242-18,913
242-19,914
242-26,915
242-3,916
243,917
"243,60",918
243-1,919
243-13,920
243-3,921
243-4,922
243-6,923
2431,924
244,925
"244,22",926
"245,40",927
245-1,928
246,929
247,930
"247,54",931
2488,932
25,933
25.60,934
25/04/2008,935
25/09/2010,936
250,937
2529,938
254,939
"254,40",940
25429,941
"255,50",942
"256,50",943
257,944
258.01,945
26,946
"26,5",947
260,948
2618,949
"262,40",950
2624,951
264,952
265,953
"265,50",954
266,955
267,956
"267,78",957
"268,11",958
"268,19",959
269,960
"269,34",961
27,962
27/09/2007,963
271,964
272,965
"272,15",966
274,967
"274,82",968
"277,33",969
278,970
"278,90",971
279,972
"279,84",973
28,974
28.20,975
28.60,976
"280,70",977
28031,978
"282,64",979
283,980
"283,12",981
"284,15",982
286,983
2866,984
"289,18",985
29,986
29-12-1962,987
290,988
"290,48",989
"291,22",990
"292,03",991
"292,12",992
"292,93",993
294,994
297,995
